comuna,region,jara_votos,jara_pct,kast_votos,kast_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Papudo,Valparaíso,2590,41.05,3719,58.95,61,0.91,6717,100.0,347,5.17
Petorca,Valparaíso,3980,52.79,3560,47.21,112,1.36,8232,100.0,580,7.05
Puchuncavi,Valparaíso,7598,45.67,9040,54.33,246,1.36,18152,100.0,1268,6.99
Putaendo,Valparaíso,5452,45.2,6610,54.8,168,1.27,13204,100.0,974,7.38
Quillota,Valparaíso,26069,40.61,38118,59.39,915,1.31,69817,100.0,4715,6.75
Quilpue,Valparaíso,52703,46.52,60578,53.48,1660,1.35,122858,100.0,7917,6.44
Quintero,Valparaíso,10503,46.88,11901,53.12,408,1.66,24600,100.0,1788,7.27
Rinconada,Valparaíso,3670,40.84,5317,59.16,104,1.07,9679,100.0,588,6.08
San Antonio,Valparaíso,35687,53.85,30590,46.15,718,1.0,71836,100.0,4841,6.74
San Esteban,Valparaíso,5503,40.22,8178,59.78,168,1.13,14930,100.0,1081,7.24
San Felipe,Valparaíso,22201,44.39,27811,55.61,681,1.25,54393,100.0,3700,6.8
Santa Maria,Valparaíso,4012,36.92,6854,63.08,166,1.4,11892,100.0,860,7.23
Santo Domingo,Valparaíso,3999,33.48,7945,66.52,136,1.08,12649,100.0,569,4.5
Valparaiso,Valparaíso,108475,53.14,95659,46.86,3074,1.39,220798,100.0,13590,6.15
Villa Alemana,Valparaíso,40383,45.34,48676,54.66,1227,1.27,96945,100.0,6659,6.87
Viña del Mar,Valparaíso,106681,45.14,129669,54.86,3485,1.37,254626,100.0,14791,5.81
Zapallar,Valparaíso,3035,34.31,5812,65.69,121,1.28,9468,100.0,500,5.28
la Cruz,Valparaíso,6246,39.45,9586,60.55,208,1.22,17055,100.0,1015,5.95
la Ligua,Valparaíso,12681,46.01,14881,53.99,365,1.23,29690,100.0,1763,5.94
los Andes,Valparaíso,20259,44.68,25086,55.32,590,1.2,49361,100.0,3426,6.94
Bulnes,Ñuble,5020,28.11,12840,71.89,207,1.09,19067,100.0,1000,5.24
Chillan,Ñuble,48123,35.98,85620,64.02,1591,1.11,143171,100.0,7837,5.47
Chillan Viejo,Ñuble,6953,32.43,14484,67.57,252,1.09,23088,100.0,1399,6.06
Cobquecura,Ñuble,1372,29.72,3245,70.28,59,1.21,4874,100.0,198,4.06
Coelemu,Ñuble,3696,28.64,9211,71.36,136,0.99,13698,100.0,655,4.78
Coihueco,Ñuble,4379,20.29,17203,79.71,184,0.81,22756,100.0,990,4.35
El Carmen,Ñuble,2342,21.87,8367,78.13,78,0.7,11205,100.0,418,3.73
Ninhue,Ñuble,1300,27.11,3496,72.89,43,0.85,5062,100.0,223,4.41
Pemuco,Ñuble,1981,27.71,5168,72.29,65,0.86,7573,100.0,359,4.74
Pinto,Ñuble,2163,20.06,8621,79.94,73,0.64,11381,100.0,524,4.6
Portezuelo,Ñuble,1329,27.41,3519,72.59,55,1.08,5088,100.0,185,3.64
Quillon,Ñuble,3896,26.3,10917,73.7,151,0.95,15850,100.0,886,5.59
Quirihue,Ñuble,2853,31.37,6243,68.63,95,0.98,9693,100.0,502,5.18
Ranquil,Ñuble,1454,28.21,3700,71.79,69,1.26,5462,100.0,239,4.38
San Carlos,Ñuble,11083,27.0,29963,73.0,387,0.88,43729,100.0,2296,5.25
San Fabian,Ñuble,1362,30.69,3076,69.31,45,0.94,4773,100.0,290,6.08
San Ignacio,Ñuble,2983,22.2,10452,77.8,103,0.73,14163,100.0,625,4.41
San Nicolas,Ñuble,3254,28.93,7995,71.07,99,0.82,12034,100.0,686,5.7
Trehuaco,Ñuble,1344,26.62,3705,73.38,54,1.02,5320,100.0,217,4.08
Yungay,Ñuble,5145,35.89,9192,64.11,197,1.26,15604,100.0,1070,6.86
ÑIquen,Ñuble,2119,22.27,7394,77.73,78,0.77,10103,100.0,512,5.07
